DATE,USEHS
1985-02-01,8499
1985-03-01,8544
1985-04-01,8574
1985-05-01,8620
1985-06-01,8652
1985-07-01,8686
1985-08-01,8748
1985-09-01,8778
1985-10-01,8819
1985-11-01,8864
1985-12-01,8894
1986-01-01,8912
1986-02-01,8936
1986-03-01,8965
1986-04-01,9002
1986-05-01,9032
1986-06-01,9061
1986-07-01,9111
1986-08-01,9160
1986-09-01,9164
1986-10-01,9202
1986-11-01,9232
1986-12-01,9268
1987-01-01,9312
1987-02-01,9338
1987-03-01,9383
1987-04-01,9431
1987-05-01,9484
1987-06-01,9520
1987-07-01,9602
1987-08-01,9670
1987-09-01,9643
1987-10-01,9686
1987-11-01,9711
1987-12-01,9752
1988-01-01,9793
1988-02-01,9838
1988-03-01,9883
1988-04-01,9938
1988-05-01,9996
1988-06-01,10095
1988-07-01,10181
1988-08-01,10263
1988-09-01,10242
1988-10-01,10273
1988-11-01,10310
1988-12-01,10359
1989-01-01,10383
1989-02-01,10411
1989-03-01,10468
1989-04-01,10536
1989-05-01,10590
1989-06-01,10706
1989-07-01,10764
1989-08-01,10834
1989-09-01,10786
1989-10-01,10766
1989-11-01,10792
1989-12-01,10814
1990-01-01,10778
1990-02-01,10818
1990-03-01,10866
1990-04-01,10893
1990-05-01,10956
1990-06-01,11018
1990-07-01,11054
1990-08-01,11099
1990-09-01,11137
1990-10-01,11177
1990-11-01,11220
1990-12-01,11271
1991-01-01,11343
1991-02-01,11375
1991-03-01,11425
1991-04-01,11464
1991-05-01,11492
1991-06-01,11538
1991-07-01,11573
1991-08-01,11616
1991-09-01,11658
1991-10-01,11700
1991-11-01,11727
1991-12-01,11764
1992-01-01,11803
1992-02-01,11825
1992-03-01,11841
1992-04-01,11869
1992-05-01,11883
1992-06-01,11929
1992-07-01,11973
1992-08-01,11996
1992-09-01,12013
1992-10-01,12046
1992-11-01,12076
1992-12-01,12109
1993-01-01,12144
1993-02-01,12176
1993-03-01,12191
1993-04-01,12244
1993-05-01,12297
1993-06-01,12346
1993-07-01,12399
1993-08-01,12446
1993-09-01,12465
1993-10-01,12499
1993-11-01,12540
1993-12-01,12585
1994-01-01,12625
1994-02-01,12644
1994-03-01,12694
1994-04-01,12743
1994-05-01,12795
1994-06-01,12850
1994-07-01,12918
1994-08-01,12956
1994-09-01,12994
1994-10-01,13032
1994-11-01,13076
1994-12-01,13129
1995-01-01,13166
1995-02-01,13213
1995-03-01,13255
1995-04-01,13285
1995-05-01,13309
1995-06-01,13343
1995-07-01,13359
1995-08-01,13401
1995-09-01,13445
1995-10-01,13477
1995-11-01,13509
1995-12-01,13547
1996-01-01,13550
1996-02-01,13602
1996-03-01,13645
1996-04-01,13678
1996-05-01,13715
1996-06-01,13751
1996-07-01,13795
1996-08-01,13807
1996-09-01,13837
1996-10-01,13887
1996-11-01,13929
1996-12-01,13951
1997-01-01,13998
1997-02-01,14025
1997-03-01,14053
1997-04-01,14103
1997-05-01,14142
1997-06-01,14168
1997-07-01,14230
1997-08-01,14234
1997-09-01,14272
1997-10-01,14305
1997-11-01,14329
1997-12-01,14366
1998-01-01,14392
1998-02-01,14416
1998-03-01,14438
1998-04-01,14466
1998-05-01,14509
1998-06-01,14553
1998-07-01,14611
1998-08-01,14593
1998-09-01,14649
1998-10-01,14696
1998-11-01,14727
1998-12-01,14762
1999-01-01,14779
1999-02-01,14832
1999-03-01,14857
1999-04-01,14888
1999-05-01,14898
1999-06-01,14928
1999-07-01,14955
1999-08-01,14958
1999-09-01,14988
1999-10-01,15025
1999-11-01,15057
1999-12-01,15080
2000-01-01,15099
2000-02-01,15112
2000-03-01,15141
2000-04-01,15161
2000-05-01,15188
2000-06-01,15214
2000-07-01,15244
2000-08-01,15281
2000-09-01,15353
2000-10-01,15360
2000-11-01,15410
2000-12-01,15465
2001-01-01,15516
2001-02-01,15573
2001-03-01,15629
2001-04-01,15671
2001-05-01,15747
2001-06-01,15779
2001-07-01,15840
2001-08-01,15903
2001-09-01,15959
2001-10-01,15999
2001-11-01,16044
2001-12-01,16097
2002-01-01,16150
2002-02-01,16199
2002-03-01,16240
2002-04-01,16281
2002-05-01,16328
2002-06-01,16422
2002-07-01,16466
2002-08-01,16489
2002-09-01,16509
2002-10-01,16541
2002-11-01,16587
2002-12-01,16606
2003-01-01,16656
2003-02-01,16696
2003-03-01,16720
2003-04-01,16784
2003-05-01,16825
2003-06-01,16836
2003-07-01,16842
2003-08-01,16851
2003-09-01,16883
2003-10-01,16942
2003-11-01,16978
2003-12-01,17016
2004-01-01,17048
2004-02-01,17066
2004-03-01,17115
2004-04-01,17150
2004-05-01,17185
2004-06-01,17200
2004-07-01,17234
2004-08-01,17270
2004-09-01,17261
2004-10-01,17364
2004-11-01,17391
2004-12-01,17436
2005-01-01,17470
2005-02-01,17480
2005-03-01,17506
2005-04-01,17544
2005-05-01,17605
2005-06-01,17662
2005-07-01,17716
2005-08-01,17750
2005-09-01,17789
2005-10-01,17812
2005-11-01,17864
2005-12-01,17894
2006-01-01,17946
2006-02-01,17998
2006-03-01,18045
2006-04-01,18070
2006-05-01,18100
2006-06-01,18102
2006-07-01,18128
2006-08-01,18182
2006-09-01,18248
2006-10-01,18288
2006-11-01,18337
2006-12-01,18378
2007-01-01,18415
2007-02-01,18451
2007-03-01,18507
2007-04-01,18563
2007-05-01,18608
2007-06-01,18661
2007-07-01,18691
2007-08-01,18755
2007-09-01,18812
2007-10-01,18849
2007-11-01,18875
2007-12-01,18924
2008-01-01,18978
2008-02-01,19018
2008-03-01,19068
2008-04-01,19126
2008-05-01,19166
2008-06-01,19224
2008-07-01,19275
2008-08-01,19337
2008-09-01,19343
2008-10-01,19363
2008-11-01,19401
2008-12-01,19442
2009-01-01,19482
2009-02-01,19507
2009-03-01,19514
2009-04-01,19521
2009-05-01,19582
2009-06-01,19614
2009-07-01,19629
2009-08-01,19681
2009-09-01,19692
2009-10-01,19736
2009-11-01,19770
2009-12-01,19804
2010-01-01,19820
2010-02-01,19839
2010-03-01,19896
2010-04-01,19902
2010-05-01,19934
2010-06-01,19955
2010-07-01,19980
2010-08-01,20017
2010-09-01,20001
2010-10-01,20074
2010-11-01,20119
2010-12-01,20134
2011-01-01,20153
2011-02-01,20163
2011-03-01,20177
2011-04-01,20237
2011-05-01,20252
2011-06-01,20288
2011-07-01,20327
2011-08-01,20367
2011-09-01,20415
2011-10-01,20457
2011-11-01,20496
2011-12-01,20530
2012-01-01,20574
2012-02-01,20657
2012-03-01,20689
2012-04-01,20707
2012-05-01,20747
2012-06-01,20738
2012-07-01,20773
2012-08-01,20801
2012-09-01,20841
2012-10-01,20881
2012-11-01,20887
2012-12-01,20935
2013-01-01,20956
2013-02-01,20958
2013-03-01,21007
2013-04-01,21054
2013-05-01,21071
2013-06-01,21070
2013-07-01,21074
2013-08-01,21143
2013-09-01,21133
2013-10-01,21158
2013-11-01,21194
2013-12-01,21196
2014-01-01,21228
2014-02-01,21251
2014-03-01,21294
2014-04-01,21321
2014-05-01,21364
2014-06-01,21410
2014-07-01,21453
2014-08-01,21491
2014-09-01,21543
2014-10-01,21573
2014-11-01,21626
2014-12-01,21678
2015-01-01,21743
2015-02-01,21790
2015-03-01,21832
2015-04-01,21907
2015-05-01,21956
2015-06-01,21994
2015-07-01,22050
2015-08-01,22093
2015-09-01,22141
2015-10-01,22217
2015-11-01,22263
2015-12-01,22322
2016-01-01,22340
2016-02-01,22405
2016-03-01,22451
2016-04-01,22507
2016-05-01,22562
2016-06-01,22626
2016-07-01,22671
2016-08-01,22719
2016-09-01,22774
2016-10-01,22830
2016-11-01,22866
2016-12-01,22927
2017-01-01,22942
2017-02-01,23005
2017-03-01,23046
2017-04-01,23098
2017-05-01,23130
2017-06-01,23170
2017-07-01,23238
2017-08-01,23278
2017-09-01,23298
2017-10-01,23317
2017-11-01,23355
2017-12-01,23380
2018-01-01,23445
2018-02-01,23481
2018-03-01,23518
2018-04-01,23542
2018-05-01,23581
2018-06-01,23646
2018-07-01,23694
2018-08-01,23754
2018-09-01,23779
2018-10-01,23816
2018-11-01,23845
2018-12-01,23912
2019-01-01,23980
2019-02-01,23999
2019-03-01,24071
2019-04-01,24142
2019-05-01,24176
2019-06-01,24233
2019-07-01,24299
