DATE,USPBS
1992-07-01,10999
1992-08-01,11041
1992-09-01,11074
1992-10-01,11118
1992-11-01,11163
1992-12-01,11230
1993-01-01,11280
1993-02-01,11327
1993-03-01,11362
1993-04-01,11410
1993-05-01,11455
1993-06-01,11492
1993-07-01,11529
1993-08-01,11568
1993-09-01,11622
1993-10-01,11700
1993-11-01,11751
1993-12-01,11788
1994-01-01,11827
1994-02-01,11873
1994-03-01,11955
1994-04-01,12038
1994-05-01,12084
1994-06-01,12155
1994-07-01,12260
1994-08-01,12305
1994-09-01,12384
1994-10-01,12438
1994-11-01,12530
1994-12-01,12573
1995-01-01,12652
1995-02-01,12711
1995-03-01,12754
1995-04-01,12768
1995-05-01,12772
1995-06-01,12818
1995-07-01,12860
1995-08-01,12934
1995-09-01,13019
1995-10-01,13051
1995-11-01,13087
1995-12-01,13137
1996-01-01,13125
1996-02-01,13257
1996-03-01,13307
1996-04-01,13344
1996-05-01,13403
1996-06-01,13477
1996-07-01,13535
1996-08-01,13605
1996-09-01,13646
1996-10-01,13669
1996-11-01,13770
1996-12-01,13833
1997-01-01,13896
1997-02-01,14010
1997-03-01,14108
1997-04-01,14218
1997-05-01,14293
1997-06-01,14363
1997-07-01,14451
1997-08-01,14461
1997-09-01,14539
1997-10-01,14608
1997-11-01,14695
1997-12-01,14784
1998-01-01,14849
1998-02-01,14907
1998-03-01,14959
1998-04-01,15006
1998-05-01,15097
1998-06-01,15179
1998-07-01,15212
1998-08-01,15271
1998-09-01,15273
1998-10-01,15374
1998-11-01,15458
1998-12-01,15548
1999-01-01,15607
1999-02-01,15686
1999-03-01,15733
1999-04-01,15809
1999-05-01,15876
1999-06-01,15964
1999-07-01,16044
1999-08-01,16083
1999-09-01,16106
1999-10-01,16259
1999-11-01,16318
1999-12-01,16390
2000-01-01,16468
2000-02-01,16504
2000-03-01,16578
2000-04-01,16661
2000-05-01,16627
2000-06-01,16696
2000-07-01,16741
2000-08-01,16772
2000-09-01,16834
2000-10-01,16847
2000-11-01,16886
2000-12-01,16869
2001-01-01,16876
2001-02-01,16851
2001-03-01,16802
2001-04-01,16675
2001-05-01,16632
2001-06-01,16566
2001-07-01,16512
2001-08-01,16449
2001-09-01,16362
2001-10-01,16261
2001-11-01,16133
2001-12-01,16107
2002-01-01,16072
2002-02-01,16042
