UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2014,29,4314715,2176009,2138706,1658031,1588639,289498,308341,31741,28995,140931,153471,6982,6297,48826,52963,1700392,1634454,307472,329301,48677,46969,160678,174800,12368,11814,1713017,1722166,1249755,1223860,268433,286633,16655,16589,136310,149121,4869,4641,36995,41322,1281668,1259517,281500,302390,27914,29175,153005,167288,9092,9053,462992,416540,408276,364779,21065,21708,15086,12406,4621,4350,2113,1656,11831,11641,418724,374937,25972,26911,20763,17794,7673,7512,3276,2761
R,1,2014,30,4242227,2133535,2108692,1628434,1566015,280476,301931,31240,28514,139282,154259,6868,6319,47235,51654,1669263,1610695,297800,321895,47801,46565,158485,175002,12067,11825,1680064,1695816,1228290,1204456,260050,280383,16221,16187,134853,150044,4876,4696,35774,40050,1258995,1238935,272525,295363,27324,28793,151047,167645,8967,9044,453471,412876,400144,361559,20426,21548,15019,12327,4429,4215,1992,1623,11461,11604,410268,371760,25275,26532,20477,17772,7438,7357,3100,2781
R,1,2014,31,4334472,2177107,2157365,1663272,1602729,285396,308770,31915,29168,142069,158291,6944,6506,47511,51901,1704394,1647515,302630,328983,48927,47574,161115,178873,12261,11966,1708835,1730359,1249560,1228595,264432,286353,16514,16524,137462,153777,4929,4788,35938,40322,1280447,1263188,276791,301506,27930,29468,153528,171276,9124,9162,468272,427006,413712,374134,20964,22417,15401,12644,4607,4514,2015,1718,11573,11579,423947,384327,25839,27477,20997,18106,7587,7597,3137,2804
R,1,2014,32,4244431,2125432,2118999,1628845,1576664,277511,303792,30136,27979,136426,154580,6724,6085,45790,49899,1668335,1619673,294025,323366,46857,45810,154683,174120,11770,11447,1675087,1701237,1231015,1210123,257346,282242,15434,15691,131992,150164,4740,4417,34560,38600,1260592,1243259,269190,296877,26679,28147,147340,166727,8711,8671,450345,417762,397830,366541,20165,21550,14702,12288,4434,4416,1984,1668,11230,11299,407743,376414,24835,26489,20178,17663,7343,7393,3059,2776
R,1,2014,33,4345022,2179196,2165826,1668748,1608086,289523,316653,31261,28976,136467,155532,6969,6196,46228,50383,1708529,1651499,306317,336379,48114,47179,154931,175138,12246,11570,1709420,1735207,1253234,1230040,268814,294334,16034,16334,131747,151063,4864,4538,34727,38898,1282876,1263333,280781,308966,27334,29135,147200,167699,9044,8858,469776,430619,415514,378046,20709,22319,15227,12642,4720,4469,2105,1658,11501,11485,425653,388166,25536,27413,20780,18044,7731,7439,3202,2712
R,1,2014,34,4236230,2127832,2108398,1628795,1563930,282828,309588,30202,27716,135603,153158,6476,5953,43928,48053,1666705,1605184,298585,328437,46668,45192,152765,171836,11442,11105,1673258,1691254,1226857,1197456,262621,288020,15418,15523,131171,148909,4499,4409,32692,36937,1254826,1228948,273695,301817,26387,27814,145465,164718,8403,8534,454574,417144,401938,366474,20207,21568,14784,12193,4432,4249,1977,1544,11236,11116,411879,376236,24890,26620,20281,17378,7300,7118,3039,2571
R,1,2014,35,3998902,1996603,2002299,1530542,1487078,262630,291552,27874,26314,128820,147017,5943,5483,40794,44855,1565557,1525571,277232,308785,43213,42959,144960,164534,10394,10192,1572724,1604167,1154747,1137384,244161,271203,14510,14594,124649,142788,4218,3981,30439,34217,1180580,1166529,254501,283710,24784,26167,138126,157598,7713,7757,423879,398132,375795,349694,18469,20349,13364,11720,4171,4229,1725,1502,10355,10638,384977,359042,22731,25075,18429,16792,6834,6936,2681,2435
R,1,2014,36,4021253,2005536,2015717,1543906,1503103,260055,290079,28394,26829,127211,145950,5943,5606,40027,44150,1578244,1540810,274186,307006,43832,43488,142923,163117,10335,10268,1577040,1610565,1163312,1145943,242042,269927,14748,15069,123004,141805,4219,4103,29715,33718,1188510,1174511,251862,282145,25091,26724,136137,156365,7661,7837,428496,405152,380594,357160,18013,20152,13646,11760,4207,4145,1724,1503,10312,10432,389734,366299,22324,24861,18741,16764,6786,6752,2674,2431
R,1,2014,37,3877538,1930588,1946950,1483381,1450672,247657,277520,27261,25431,128598,146268,5643,5189,38048,41870,1516107,1486282,260593,293205,41871,41465,143806,162773,9967,9697,1515429,1550403,1113973,1099913,230384,258257,14214,14270,124509,142242,4010,3769,28339,31952,1138074,1126813,239267,269596,24074,25556,137272,156148,7399,7381,415159,396547,369408,350759,17273,19263,13047,11161,4089,4026,1633,1420,9709,9918,378033,359469,21326,23609,17797,15909,6534,6625,2568,2316
R,1,2014,38,3894058,1940840,1953218,1489675,1453478,249727,279317,27067,25575,132678,149979,5384,5149,36309,39720,1520767,1487302,262253,293924,41324,40892,147019,165754,9351,9347,1525839,1557589,1119455,1102534,232819,260477,13982,14332,128674,145969,3844,3801,27065,30476,1142339,1128287,241434,270990,23689,25160,140742,159374,7005,7159,415001,395629,370220,350944,16908,18840,13085,11243,4004,4010,1540,1348,9244,9244,378428,359015,20819,22934,17635,15732,6277,6380,2346,2188
